algoritmo,n,promedio_ms,desviacion_ms,min_ms,max_ms
Burbuja,1000,0.923000,0.014439,0.907500,0.964500
Seleccion,1000,0.530100,0.005938,0.523500,0.542300
Insercion,1000,0.332900,0.000882,0.331500,0.334800
QuickSort,1000,0.028040,0.006593,0.024400,0.047500
MergeSort,1000,0.687320,0.004315,0.681000,0.697100
BusquedaSecuencial,1000,0.000510,0.000030,0.000500,0.000600
BusquedaBinaria,1000,0.000110,0.000030,0.000100,0.000200
Burbuja,5000,22.689890,0.119425,22.541100,22.864700
Seleccion,5000,12.802420,0.170661,12.658600,13.174500
Insercion,5000,8.324200,0.177006,8.166600,8.712300
QuickSort,5000,0.300720,0.006103,0.296000,0.317600
MergeSort,5000,3.774650,0.051029,3.710900,3.860100
BusquedaSecuencial,5000,0.002260,0.000066,0.002200,0.002400
BusquedaBinaria,5000,0.000110,0.000030,0.000100,0.000200
Burbuja,10000,90.899440,0.821857,90.317200,93.207400
Seleccion,10000,53.678410,1.279857,50.277100,55.391600
Insercion,10000,33.736670,1.479917,32.078400,36.614200
QuickSort,10000,0.814710,0.081392,0.731500,1.012100
MergeSort,10000,8.343410,0.767996,7.605700,9.669600
BusquedaSecuencial,10000,0.005330,0.000064,0.005300,0.005500
BusquedaBinaria,10000,0.000150,0.000067,0.000100,0.000300
